genre,title,author,description,price
mystery,The Silent Patient,Alex Michaelides,A psychological thriller about a woman who refuses to speak after allegedly murdering her husband,0.30
mystery,Gone Girl,Gillian Flynn,A dark psychological thriller about a marriage gone terribly wrong,0.30
mystery,The Girl with the Dragon Tattoo,Stieg Larsson,A journalist and a hacker investigate a decades-old disappearance,0.30
thriller,The Da Vinci Code,Dan Brown,A symbologist and a cryptologist race to solve a murder and uncover a secret,0.30
thriller,The Bourne Identity,Robert Ludlum,A man with no memory must discover his true identity while being hunted,0.30
thriller,The Silence of the Lambs,Thomas Harris,An FBI trainee seeks help from a brilliant but insane cannibalistic serial killer,0.30
horror,The Shining,Stephen King,A family becomes caretakers of a haunted hotel during the winter,0.30
horror,The Exorcist,William Peter Blatty,A young girl's demonic possession leads to a battle between good and evil,0.30
horror,It,Stephen King,Seven children face their worst nightmare in the form of a shape-shifting entity,0.30
romance,The Notebook,Nicholas Sparks,A timeless love story about a couple separated by war and reunited years later,0.30
romance,Me Before You,Jojo Moyes,A heartwarming story about love, loss, and living life to the fullest,0.30
fantasy,The Hobbit,J.R.R. Tolkien,A classic fantasy adventure about a hobbit's unexpected journey,0.30
fantasy,Harry Potter and the Philosopher's Stone,J.K. Rowling,The magical story of a young wizard discovering his destiny,0.30
